,Date,Month,Day,Solar Flare Event
0,2020/01/01,1,01,0
1,2020/01/02,1,02,0
2,2020/01/03,1,03,1
3,2020/01/04,1,04,0
4,2020/01/05,1,05,0
5,2020/01/06,1,06,0
6,2020/01/07,1,07,0
7,2020/01/08,1,08,0
8,2020/01/09,1,09,0
9,2020/01/10,1,10,1
10,2020/01/11,1,11,0
11,2020/01/12,1,12,0
12,2020/01/13,1,13,0
13,2020/01/14,1,14,0
14,2020/01/15,1,15,0
15,2020/01/16,1,16,1
16,2020/01/17,1,17,0
17,2020/01/18,1,18,0
18,2020/01/19,1,19,1
19,2020/01/20,1,20,0
20,2020/01/21,1,21,0
21,2020/01/22,1,22,0
22,2020/01/23,1,23,0
23,2020/01/24,1,24,1
24,2020/01/25,1,25,1
25,2020/01/26,1,26,0
26,2020/01/27,1,27,0
27,2020/01/28,1,28,0
28,2020/01/29,1,29,0
29,2020/01/30,1,30,0
30,2020/01/31,1,31,1
31,2020/02/01,2,01,0
32,2020/02/02,2,02,0
33,2020/02/03,2,03,0
34,2020/02/04,2,04,0
35,2020/02/05,2,05,0
36,2020/02/06,2,06,0
37,2020/02/07,2,07,1
38,2020/02/08,2,08,0
39,2020/02/09,2,09,0
40,2020/02/10,2,10,0
41,2020/02/11,2,11,0
42,2020/02/12,2,12,0
43,2020/02/13,2,13,0
44,2020/02/14,2,14,0
45,2020/02/15,2,15,0
46,2020/02/16,2,16,0
47,2020/02/17,2,17,0
48,2020/02/18,2,18,0
49,2020/02/19,2,19,0
50,2020/02/20,2,20,1
51,2020/02/21,2,21,0
52,2020/02/22,2,22,0
53,2020/02/23,2,23,0
54,2020/02/24,2,24,0
55,2020/02/25,2,25,0
56,2020/02/26,2,26,1
57,2020/02/27,2,27,0
58,2020/02/28,2,28,0
59,2020/03/01,3,01,0
60,2020/03/02,3,02,0
61,2020/03/03,3,03,0
62,2020/03/04,3,04,1
63,2020/03/05,3,05,0
64,2020/03/06,3,06,0
65,2020/03/07,3,07,0
66,2020/03/08,3,08,0
67,2020/03/09,3,09,0
68,2020/03/10,3,10,0
69,2020/03/11,3,11,1
70,2020/03/12,3,12,0
71,2020/03/13,3,13,0
72,2020/03/14,3,14,0
73,2020/03/15,3,15,0
74,2020/03/16,3,16,0
75,2020/03/17,3,17,1
76,2020/03/18,3,18,0
77,2020/03/19,3,19,0
78,2020/03/20,3,20,0
79,2020/03/21,3,21,0
80,2020/03/22,3,22,0
81,2020/03/23,3,23,1
82,2020/03/24,3,24,0
83,2020/03/25,3,25,0
84,2020/03/26,3,26,0
85,2020/03/27,3,27,0
86,2020/03/28,3,28,0
87,2020/03/29,3,29,0
88,2020/03/30,3,30,1
89,2020/03/31,3,31,0
90,2020/04/01,4,01,0
91,2020/04/02,4,02,0
92,2020/04/03,4,03,0
93,2020/04/04,4,04,1
94,2020/04/05,4,05,0
95,2020/04/06,4,06,1
96,2020/04/07,4,07,1
97,2020/04/08,4,08,0
98,2020/04/09,4,09,1
99,2020/04/10,4,10,0
100,2020/04/11,4,11,0
101,2020/04/12,4,12,0
102,2020/04/13,4,13,0
103,2020/04/14,4,14,0
104,2020/04/15,4,15,0
105,2020/04/16,4,16,0
106,2020/04/17,4,17,0
107,2020/04/18,4,18,1
108,2020/04/19,4,19,0
109,2020/04/20,4,20,0
110,2020/04/21,4,21,0
111,2020/04/22,4,22,0
112,2020/04/23,4,23,1
113,2020/04/24,4,24,0
114,2020/04/25,4,25,0
115,2020/04/26,4,26,0
116,2020/04/27,4,27,0
117,2020/04/28,4,28,0
118,2020/04/29,4,29,0
119,2020/04/30,4,30,1
120,2020/05/01,5,01,1
121,2020/05/02,5,02,0
122,2020/05/03,5,03,0
123,2020/05/04,5,04,0
124,2020/05/05,5,05,0
125,2020/05/06,5,06,0
126,2020/05/07,5,07,0
127,2020/05/08,5,08,1
128,2020/05/09,5,09,0
129,2020/05/10,5,10,0
130,2020/05/11,5,11,0
131,2020/05/12,5,12,0
132,2020/05/13,5,13,0
133,2020/05/14,5,14,0
134,2020/05/15,5,15,1
135,2020/05/16,5,16,0
136,2020/05/17,5,17,0
137,2020/05/18,5,18,0
138,2020/05/19,5,19,0
139,2020/05/20,5,20,0
140,2020/05/21,5,21,0
141,2020/05/22,5,22,0
142,2020/05/23,5,23,0
143,2020/05/24,5,24,0
144,2020/05/25,5,25,0
145,2020/05/26,5,26,0
146,2020/05/27,5,27,1
147,2020/05/28,5,28,1
148,2020/05/29,5,29,1
149,2020/05/30,5,30,0
150,2020/05/31,5,31,0
151,2020/06/01,6,01,0
152,2020/06/02,6,02,1
153,2020/06/03,6,03,0
154,2020/06/04,6,04,0
155,2020/06/05,6,05,1
156,2020/06/06,6,06,1
157,2020/06/07,6,07,1
158,2020/06/08,6,08,0
159,2020/06/09,6,09,1
160,2020/06/10,6,10,0
161,2020/06/11,6,11,0
162,2020/06/12,6,12,0
163,2020/06/13,6,13,0
164,2020/06/14,6,14,0
165,2020/06/15,6,15,0
166,2020/06/16,6,16,0
167,2020/06/17,6,17,1
168,2020/06/18,6,18,0
169,2020/06/19,6,19,0
170,2020/06/20,6,20,0
171,2020/06/21,6,21,0
172,2020/06/22,6,22,0
173,2020/06/23,6,23,0
174,2020/06/24,6,24,0
175,2020/06/25,6,25,0
176,2020/06/26,6,26,0
177,2020/06/27,6,27,1
178,2020/06/28,6,28,0
179,2020/06/29,6,29,0
180,2020/06/30,6,30,0
181,2020/07/01,7,01,0
182,2020/07/02,7,02,0
183,2020/07/03,7,03,0
184,2020/07/04,7,04,1
185,2020/07/05,7,05,0
186,2020/07/06,7,06,0
187,2020/07/07,7,07,0
188,2020/07/08,7,08,0
189,2020/07/09,7,09,0
190,2020/07/10,7,10,0
191,2020/07/11,7,11,0
192,2020/07/12,7,12,0
193,2020/07/13,7,13,0
194,2020/07/14,7,14,0
195,2020/07/15,7,15,0
196,2020/07/16,7,16,0
197,2020/07/17,7,17,0
198,2020/07/18,7,18,0
199,2020/07/19,7,19,0
200,2020/07/20,7,20,0
201,2020/07/21,7,21,0
202,2020/07/22,7,22,0
203,2020/07/23,7,23,0
204,2020/07/24,7,24,0
205,2020/07/25,7,25,0
206,2020/07/26,7,26,0
207,2020/07/27,7,27,0
208,2020/07/28,7,28,0
209,2020/07/29,7,29,0
210,2020/07/30,7,30,0
211,2020/07/31,7,31,1
212,2020/08/01,8,01,1
213,2020/08/02,8,02,0
214,2020/08/03,8,03,1
215,2020/08/04,8,04,1
216,2020/08/05,8,05,1
217,2020/08/06,8,06,1
218,2020/08/07,8,07,0
219,2020/08/08,8,08,1
220,2020/08/09,8,09,0
221,2020/08/10,8,10,1
222,2020/08/11,8,11,1
223,2020/08/12,8,12,1
224,2020/08/13,8,13,0
225,2020/08/14,8,14,0
226,2020/08/15,8,15,1
227,2020/08/16,8,16,1
228,2020/08/17,8,17,0
229,2020/08/18,8,18,0
230,2020/08/19,8,19,1
231,2020/08/20,8,20,1
232,2020/08/21,8,21,1
233,2020/08/22,8,22,0
234,2020/08/23,8,23,0
235,2020/08/24,8,24,0
236,2020/08/25,8,25,0
237,2020/08/26,8,26,0
238,2020/08/27,8,27,0
239,2020/08/28,8,28,0
240,2020/08/29,8,29,0
241,2020/08/30,8,30,0
242,2020/08/31,8,31,0
243,2020/09/01,9,01,0
244,2020/09/02,9,02,0
245,2020/09/03,9,03,1
246,2020/09/04,9,04,0
247,2020/09/05,9,05,0
248,2020/09/06,9,06,0
249,2020/09/07,9,07,0
250,2020/09/08,9,08,1
251,2020/09/09,9,09,0
252,2020/09/10,9,10,0
253,2020/09/11,9,11,0
254,2020/09/12,9,12,0
255,2020/09/13,9,13,0
256,2020/09/14,9,14,0
257,2020/09/15,9,15,0
258,2020/09/16,9,16,0
259,2020/09/17,9,17,0
260,2020/09/18,9,18,0
261,2020/09/19,9,19,0
262,2020/09/20,9,20,0
263,2020/09/21,9,21,1
264,2020/09/22,9,22,1
265,2020/09/23,9,23,1
266,2020/09/24,9,24,1
267,2020/09/25,9,25,1
268,2020/09/26,9,26,1
269,2020/09/27,9,27,0
270,2020/09/28,9,28,0
271,2020/09/29,9,29,0
272,2020/09/30,9,30,0
273,2020/10/01,10,01,0
274,2020/10/02,10,02,0
275,2020/10/03,10,03,0
276,2020/10/04,10,04,0
277,2020/10/05,10,05,1
278,2020/10/06,10,06,0
279,2020/10/07,10,07,0
280,2020/10/08,10,08,0
281,2020/10/09,10,09,0
282,2020/10/10,10,10,0
283,2020/10/11,10,11,0
284,2020/10/12,10,12,1
285,2020/10/13,10,13,1
286,2020/10/14,10,14,1
287,2020/10/15,10,15,1
288,2020/10/16,10,16,1
289,2020/10/17,10,17,1
290,2020/10/18,10,18,1
291,2020/10/19,10,19,1
292,2020/10/20,10,20,1
293,2020/10/21,10,21,0
294,2020/10/22,10,22,0
295,2020/10/23,10,23,0
296,2020/10/24,10,24,1
297,2020/10/25,10,25,1
298,2020/10/26,10,26,1
299,2020/10/27,10,27,1
300,2020/10/28,10,28,1
301,2020/10/29,10,29,1
302,2020/10/30,10,30,1
303,2020/10/31,10,31,1
304,2020/11/01,11,01,1
305,2020/11/02,11,02,1
306,2020/11/03,11,03,1
307,2020/11/04,11,04,1
308,2020/11/05,11,05,1
309,2020/11/06,11,06,1
310,2020/11/07,11,07,1
311,2020/11/08,11,08,1
312,2020/11/09,11,09,1
313,2020/11/10,11,10,1
314,2020/11/11,11,11,1
315,2020/11/12,11,12,1
316,2020/11/13,11,13,1
317,2020/11/14,11,14,1
318,2020/11/15,11,15,1
319,2020/11/16,11,16,1
320,2020/11/17,11,17,0
321,2020/11/18,11,18,0
322,2020/11/19,11,19,1
323,2020/11/20,11,20,1
324,2020/11/21,11,21,1
325,2020/11/22,11,22,1
326,2020/11/23,11,23,1
327,2020/11/24,11,24,1
328,2020/11/25,11,25,1
329,2020/11/26,11,26,1
330,2020/11/27,11,27,1
331,2020/11/28,11,28,1
332,2020/11/29,11,29,1
333,2020/11/30,11,30,1
334,2020/12/01,12,01,1
335,2020/12/02,12,02,1
336,2020/12/03,12,03,1
337,2020/12/04,12,04,1
338,2020/12/05,12,05,1
339,2020/12/06,12,06,1
340,2020/12/07,12,07,1
341,2020/12/08,12,08,1
342,2020/12/09,12,09,1
343,2020/12/10,12,10,1
344,2020/12/11,12,11,1
345,2020/12/12,12,12,1
346,2020/12/13,12,13,1
347,2020/12/14,12,14,1
348,2020/12/15,12,15,1
349,2020/12/16,12,16,1
350,2020/12/17,12,17,0
351,2020/12/18,12,18,1
352,2020/12/19,12,19,0
353,2020/12/20,12,20,1
354,2020/12/21,12,21,1
355,2020/12/22,12,22,1
356,2020/12/23,12,23,1
357,2020/12/24,12,24,1
358,2020/12/25,12,25,1
359,2020/12/26,12,26,1
360,2020/12/27,12,27,1
361,2020/12/28,12,28,1
362,2020/12/29,12,29,1
363,2020/12/30,12,30,1
364,2020/12/31,12,31,0
